type
abbr
add
addrLine
address
anchor
bibl
biblScope
cb
cell
choice
closer
comment
commented
corr
date
dateline
del
div
expan
foreign
fw
gap
head
hi
item
l
lb
lg
list
metamark
name
note
opener
orig
p
pb
persName
placeName
postscript
ref
reg
row
rs
salute
seg
sic
signed
subst
supplied
table
unclear
null
